"filename", "language", "Markdown", "assembly(DOS)", "C", "Batch", "C++", "nasm", "Makefile", "Python", "comment", "blank", "total"
"d:\workstation\OS_SelfMake\Assembler\day04\DrawTrangle\asmhead.nas", "nasm", 0, 0, 0, 0, 0, 97, 0, 0, 22, 33, 152
"d:\workstation\OS_SelfMake\Assembler\day04\DrawTrangle\bootpack.c", "C", 0, 0, 80, 0, 0, 0, 0, 0, 10, 5, 95
"d:\workstation\OS_SelfMake\Assembler\day04\DrawTrangle\bootpack.nas", "nasm", 0, 0, 0, 0, 0, 209, 0, 0, 0, 1, 210
"d:\workstation\OS_SelfMake\Assembler\day04\DrawTrangle\ipl10.nas", "nasm", 0, 0, 0, 0, 0, 92, 0, 0, 10, 2, 104
"d:\workstation\OS_SelfMake\Assembler\day04\DrawTrangle\make.bat", "Batch", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\workstation\OS_SelfMake\Assembler\day04\DrawTrangle\naskfunc.nas", "nasm", 0, 0, 0, 0, 0, 64, 0, 0, 4, 3, 71
"d:\workstation\OS_SelfMake\Assembler\day04\add_protection\!cons_nt.bat", "Batch", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\workstation\OS_SelfMake\Assembler\day04\add_protection\Makefile", "Makefile", 0, 0, 0, 0, 0, 0, 61, 0, 4, 21, 86
"d:\workstation\OS_SelfMake\Assembler\day04\add_protection\asmhead.nas", "nasm", 0, 0, 0, 0, 0, 20, 0, 0, 7, 1, 28
"d:\workstation\OS_SelfMake\Assembler\day04\add_protection\bootpack.c", "C", 0, 0, 59, 0, 0, 0, 0, 0, 3, 5, 67
"d:\workstation\OS_SelfMake\Assembler\day04\add_protection\bootpack.nas", "nasm", 0, 0, 0, 0, 0, 144, 0, 0, 0, 1, 145
"d:\workstation\OS_SelfMake\Assembler\day04\add_protection\ipl10.nas", "nasm", 0, 0, 0, 0, 0, 92, 0, 0, 10, 2, 104
"d:\workstation\OS_SelfMake\Assembler\day04\add_protection\make.bat", "Batch", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\workstation\OS_SelfMake\Assembler\day04\add_protection\naskfunc.nas", "nasm", 0, 0, 0, 0, 0, 63, 0, 0, 4, 3, 70
"d:\workstation\OS_SelfMake\Assembler\day04\z_tools\dsar.bat", "Batch", 0, 0, 0, 19, 0, 0, 0, 0, 0, 4, 23
"d:\workstation\OS_SelfMake\Assembler\day04\z_tools\esart5.bat", "Batch", 0, 0, 0, 13, 0, 0, 0, 0, 0, 6, 19
"d:\workstation\OS_SelfMake\Assembler\day04\z_tools\guigui00\errno.h", "C++", 0, 0, 0, 0, 12, 0, 0, 0, 1, 8, 21
"d:\workstation\OS_SelfMake\Assembler\day04\z_tools\guigui00\float.h", "C++", 0, 0, 0, 0, 19, 0, 0, 0, 1, 7, 27
"d:\workstation\OS_SelfMake\Assembler\day04\z_tools\guigui00\guigui00.h", "C++", 0, 0, 0, 0, 476, 0, 0, 0, 18, 93, 587
"d:\workstation\OS_SelfMake\Assembler\day04\z_tools\guigui00\limits.h", "C++", 0, 0, 0, 0, 18, 0, 0, 0, 1, 5, 24
"d:\workstation\OS_SelfMake\Assembler\day04\z_tools\guigui00\math.h", "C++", 0, 0, 0, 0, 32, 0, 0, 0, 1, 10, 43
"d:\workstation\OS_SelfMake\Assembler\day04\z_tools\guigui00\setjmp.h", "C++", 0, 0, 0, 0, 12, 0, 0, 0, 1, 8, 21
"d:\workstation\OS_SelfMake\Assembler\day04\z_tools\guigui00\stdarg.h", "C++", 0, 0, 0, 0, 14, 0, 0, 0, 1, 7, 22
"d:\workstation\OS_SelfMake\Assembler\day04\z_tools\guigui00\stddef.h", "C++", 0, 0, 0, 0, 10, 0, 0, 0, 1, 7, 18
"d:\workstation\OS_SelfMake\Assembler\day04\z_tools\guigui00\stdio.h", "C++", 0, 0, 0, 0, 15, 0, 0, 0, 1, 9, 25
"d:\workstation\OS_SelfMake\Assembler\day04\z_tools\guigui00\stdlib.h", "C++", 0, 0, 0, 0, 24, 0, 0, 0, 1, 10, 35
"d:\workstation\OS_SelfMake\Assembler\day04\z_tools\guigui00\string.h", "C++", 0, 0, 0, 0, 29, 0, 0, 0, 1, 9, 39
"d:\workstation\OS_SelfMake\Assembler\day04\z_tools\haribote\errno.h", "C++", 0, 0, 0, 0, 12, 0, 0, 0, 1, 8, 21
"d:\workstation\OS_SelfMake\Assembler\day04\z_tools\haribote\float.h", "C++", 0, 0, 0, 0, 19, 0, 0, 0, 1, 7, 27
"d:\workstation\OS_SelfMake\Assembler\day04\z_tools\haribote\limits.h", "C++", 0, 0, 0, 0, 18, 0, 0, 0, 1, 5, 24
"d:\workstation\OS_SelfMake\Assembler\day04\z_tools\haribote\math.h", "C++", 0, 0, 0, 0, 32, 0, 0, 0, 1, 10, 43
"d:\workstation\OS_SelfMake\Assembler\day04\z_tools\haribote\setjmp.h", "C++", 0, 0, 0, 0, 12, 0, 0, 0, 1, 8, 21
"d:\workstation\OS_SelfMake\Assembler\day04\z_tools\haribote\stdarg.h", "C++", 0, 0, 0, 0, 14, 0, 0, 0, 1, 7, 22
"d:\workstation\OS_SelfMake\Assembler\day04\z_tools\haribote\stddef.h", "C++", 0, 0, 0, 0, 10, 0, 0, 0, 1, 7, 18
"d:\workstation\OS_SelfMake\Assembler\day04\z_tools\haribote\stdio.h", "C++", 0, 0, 0, 0, 15, 0, 0, 0, 1, 9, 25
"d:\workstation\OS_SelfMake\Assembler\day04\z_tools\haribote\string.h", "C++", 0, 0, 0, 0, 29, 0, 0, 0, 1, 9, 39
"d:\workstation\OS_SelfMake\Assembler\day04\z_tools\osa_qemu\Makefile", "Makefile", 0, 0, 0, 0, 0, 0, 17, 0, 0, 5, 22
"d:\workstation\OS_SelfMake\Assembler\day04\z_tools\osa_qemu\manual.bat", "Batch", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 9
"d:\workstation\OS_SelfMake\Assembler\day04\z_tools\qemu\Makefile", "Makefile", 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 3
"d:\workstation\OS_SelfMake\Assembler\day04\z_tools\qemu\qemu-win.bat", "Batch", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"d:\workstation\OS_SelfMake\Assembler\day04\z_tools\qemu_9x\Makefile", "Makefile", 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 3
"d:\workstation\OS_SelfMake\Assembler\day04\z_tools\win32\errno.h", "C++", 0, 0, 0, 0, 12, 0, 0, 0, 1, 8, 21
"d:\workstation\OS_SelfMake\Assembler\day04\z_tools\win32\float.h", "C++", 0, 0, 0, 0, 19, 0, 0, 0, 1, 7, 27
"d:\workstation\OS_SelfMake\Assembler\day04\z_tools\win32\limits.h", "C++", 0, 0, 0, 0, 18, 0, 0, 0, 1, 5, 24
"d:\workstation\OS_SelfMake\Assembler\day04\z_tools\win32\math.h", "C++", 0, 0, 0, 0, 32, 0, 0, 0, 1, 10, 43
"d:\workstation\OS_SelfMake\Assembler\day04\z_tools\win32\setjmp.h", "C++", 0, 0, 0, 0, 12, 0, 0, 0, 1, 8, 21
"d:\workstation\OS_SelfMake\Assembler\day04\z_tools\win32\stdarg.h", "C++", 0, 0, 0, 0, 14, 0, 0, 0, 1, 7, 22
"d:\workstation\OS_SelfMake\Assembler\day04\z_tools\win32\stddef.h", "C++", 0, 0, 0, 0, 10, 0, 0, 0, 1, 7, 18
"d:\workstation\OS_SelfMake\Assembler\day04\z_tools\win32\stdio.h", "C++", 0, 0, 0, 0, 53, 0, 0, 0, 4, 11, 68
"d:\workstation\OS_SelfMake\Assembler\day04\z_tools\win32\stdlib.h", "C++", 0, 0, 0, 0, 29, 0, 0, 0, 1, 11, 41
"d:\workstation\OS_SelfMake\Assembler\day04\z_tools\win32\string.h", "C++", 0, 0, 0, 0, 29, 0, 0, 0, 1, 9, 39
"d:\workstation\OS_SelfMake\Assembler\day05\a_Rebuild-point-binfo\!cons_nt.bat", "Batch", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\workstation\OS_SelfMake\Assembler\day05\a_Rebuild-point-binfo\Makefile", "Makefile", 0, 0, 0, 0, 0, 0, 61, 0, 4, 21, 86
"d:\workstation\OS_SelfMake\Assembler\day05\a_Rebuild-point-binfo\asmhead.nas", "nasm", 0, 0, 0, 0, 0, 97, 0, 0, 22, 33, 152
"d:\workstation\OS_SelfMake\Assembler\day05\a_Rebuild-point-binfo\bootpack.c", "C", 0, 0, 109, 0, 0, 0, 0, 0, 3, 8, 120
"d:\workstation\OS_SelfMake\Assembler\day05\a_Rebuild-point-binfo\bootpack.nas", "nasm", 0, 0, 0, 0, 0, 333, 0, 0, 0, 1, 334
"d:\workstation\OS_SelfMake\Assembler\day05\a_Rebuild-point-binfo\ipl10.nas", "nasm", 0, 0, 0, 0, 0, 92, 0, 0, 10, 2, 104
"d:\workstation\OS_SelfMake\Assembler\day05\a_Rebuild-point-binfo\make.bat", "Batch", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\workstation\OS_SelfMake\Assembler\day05\a_Rebuild-point-binfo\naskfunc.nas", "nasm", 0, 0, 0, 0, 0, 64, 0, 0, 4, 3, 71
"d:\workstation\OS_SelfMake\Assembler\day05\b_Rebuild-Struct\!cons_nt.bat", "Batch", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\workstation\OS_SelfMake\Assembler\day05\b_Rebuild-Struct\Makefile", "Makefile", 0, 0, 0, 0, 0, 0, 61, 0, 4, 21, 86
"d:\workstation\OS_SelfMake\Assembler\day05\b_Rebuild-Struct\asmhead.nas", "nasm", 0, 0, 0, 0, 0, 97, 0, 0, 22, 33, 152
"d:\workstation\OS_SelfMake\Assembler\day05\b_Rebuild-Struct\bootpack.c", "C", 0, 0, 112, 0, 0, 0, 0, 0, 3, 8, 123
"d:\workstation\OS_SelfMake\Assembler\day05\b_Rebuild-Struct\bootpack.nas", "nasm", 0, 0, 0, 0, 0, 333, 0, 0, 0, 1, 334
"d:\workstation\OS_SelfMake\Assembler\day05\b_Rebuild-Struct\ipl10.nas", "nasm", 0, 0, 0, 0, 0, 92, 0, 0, 10, 2, 104
"d:\workstation\OS_SelfMake\Assembler\day05\b_Rebuild-Struct\make.bat", "Batch", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\workstation\OS_SelfMake\Assembler\day05\b_Rebuild-Struct\naskfunc.nas", "nasm", 0, 0, 0, 0, 0, 64, 0, 0, 4, 3, 71
"d:\workstation\OS_SelfMake\Assembler\day05\c_ShowCharacter\!cons_nt.bat", "Batch", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\workstation\OS_SelfMake\Assembler\day05\c_ShowCharacter\Makefile", "Makefile", 0, 0, 0, 0, 0, 0, 61, 0, 4, 21, 86
"d:\workstation\OS_SelfMake\Assembler\day05\c_ShowCharacter\asmhead.nas", "nasm", 0, 0, 0, 0, 0, 97, 0, 0, 22, 33, 152
"d:\workstation\OS_SelfMake\Assembler\day05\c_ShowCharacter\bootpack.c", "C", 0, 0, 146, 0, 0, 0, 0, 0, 8, 7, 161
"d:\workstation\OS_SelfMake\Assembler\day05\c_ShowCharacter\bootpack.nas", "nasm", 0, 0, 0, 0, 0, 439, 0, 0, 0, 1, 440
"d:\workstation\OS_SelfMake\Assembler\day05\c_ShowCharacter\ipl10.nas", "nasm", 0, 0, 0, 0, 0, 92, 0, 0, 10, 2, 104
"d:\workstation\OS_SelfMake\Assembler\day05\c_ShowCharacter\make.bat", "Batch", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\workstation\OS_SelfMake\Assembler\day05\c_ShowCharacter\naskfunc.nas", "nasm", 0, 0, 0, 0, 0, 64, 0, 0, 4, 3, 71
"d:\workstation\OS_SelfMake\Assembler\day05\d_ShowMoreCharacter\!cons_nt.bat", "Batch", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\workstation\OS_SelfMake\Assembler\day05\d_ShowMoreCharacter\Makefile", "Makefile", 0, 0, 0, 0, 0, 0, 67, 0, 4, 23, 94
"d:\workstation\OS_SelfMake\Assembler\day05\d_ShowMoreCharacter\asmhead.nas", "nasm", 0, 0, 0, 0, 0, 97, 0, 0, 22, 33, 152
"d:\workstation\OS_SelfMake\Assembler\day05\d_ShowMoreCharacter\bootpack.c", "C", 0, 0, 160, 0, 0, 0, 0, 0, 13, 10, 183
"d:\workstation\OS_SelfMake\Assembler\day05\d_ShowMoreCharacter\bootpack.nas", "nasm", 0, 0, 0, 0, 0, 507, 0, 0, 0, 1, 508
"d:\workstation\OS_SelfMake\Assembler\day05\d_ShowMoreCharacter\ipl10.nas", "nasm", 0, 0, 0, 0, 0, 92, 0, 0, 10, 2, 104
"d:\workstation\OS_SelfMake\Assembler\day05\d_ShowMoreCharacter\make.bat", "Batch", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\workstation\OS_SelfMake\Assembler\day05\d_ShowMoreCharacter\naskfunc.nas", "nasm", 0, 0, 0, 0, 0, 64, 0, 0, 4, 3, 71
"d:\workstation\OS_SelfMake\Assembler\day05\e_ShowVariable\!cons_nt.bat", "Batch", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\workstation\OS_SelfMake\Assembler\day05\e_ShowVariable\Makefile", "Makefile", 0, 0, 0, 0, 0, 0, 67, 0, 4, 23, 94
"d:\workstation\OS_SelfMake\Assembler\day05\e_ShowVariable\asmhead.nas", "nasm", 0, 0, 0, 0, 0, 97, 0, 0, 22, 33, 152
"d:\workstation\OS_SelfMake\Assembler\day05\e_ShowVariable\bootpack.c", "C", 0, 0, 164, 0, 0, 0, 0, 0, 10, 10, 184
"d:\workstation\OS_SelfMake\Assembler\day05\e_ShowVariable\bootpack.nas", "nasm", 0, 0, 0, 0, 0, 525, 0, 0, 0, 1, 526
"d:\workstation\OS_SelfMake\Assembler\day05\e_ShowVariable\ipl10.nas", "nasm", 0, 0, 0, 0, 0, 92, 0, 0, 10, 2, 104
"d:\workstation\OS_SelfMake\Assembler\day05\e_ShowVariable\make.bat", "Batch", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\workstation\OS_SelfMake\Assembler\day05\e_ShowVariable\naskfunc.nas", "nasm", 0, 0, 0, 0, 0, 64, 0, 0, 4, 3, 71
"d:\workstation\OS_SelfMake\Assembler\day05\f_ShowMouse\!cons_nt.bat", "Batch", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\workstation\OS_SelfMake\Assembler\day05\f_ShowMouse\Makefile", "Makefile", 0, 0, 0, 0, 0, 0, 67, 0, 4, 23, 94
"d:\workstation\OS_SelfMake\Assembler\day05\f_ShowMouse\asmhead.nas", "nasm", 0, 0, 0, 0, 0, 97, 0, 0, 22, 33, 152
"d:\workstation\OS_SelfMake\Assembler\day05\f_ShowMouse\bootpack.c", "C", 0, 0, 221, 0, 0, 0, 0, 0, 15, 9, 245
"d:\workstation\OS_SelfMake\Assembler\day05\f_ShowMouse\bootpack.nas", "nasm", 0, 0, 0, 0, 0, 648, 0, 0, 0, 1, 649
"d:\workstation\OS_SelfMake\Assembler\day05\f_ShowMouse\ipl10.nas", "nasm", 0, 0, 0, 0, 0, 92, 0, 0, 10, 2, 104
"d:\workstation\OS_SelfMake\Assembler\day05\f_ShowMouse\make.bat", "Batch", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\workstation\OS_SelfMake\Assembler\day05\f_ShowMouse\naskfunc.nas", "nasm", 0, 0, 0, 0, 0, 64, 0, 0, 4, 3, 71
"d:\workstation\OS_SelfMake\Assembler\day05\g_AddGDT_IDTStructure\!cons_nt.bat", "Batch", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\workstation\OS_SelfMake\Assembler\day05\g_AddGDT_IDTStructure\Makefile", "Makefile", 0, 0, 0, 0, 0, 0, 67, 0, 4, 23, 94
"d:\workstation\OS_SelfMake\Assembler\day05\g_AddGDT_IDTStructure\asmhead.nas", "nasm", 0, 0, 0, 0, 0, 97, 0, 0, 22, 33, 152
"d:\workstation\OS_SelfMake\Assembler\day05\g_AddGDT_IDTStructure\bootpack.c", "C", 0, 0, 279, 0, 0, 0, 0, 0, 22, 7, 308
"d:\workstation\OS_SelfMake\Assembler\day05\g_AddGDT_IDTStructure\bootpack.nas", "nasm", 0, 0, 0, 0, 0, 648, 0, 0, 0, 1, 649
"d:\workstation\OS_SelfMake\Assembler\day05\g_AddGDT_IDTStructure\ipl10.nas", "nasm", 0, 0, 0, 0, 0, 92, 0, 0, 10, 2, 104
"d:\workstation\OS_SelfMake\Assembler\day05\g_AddGDT_IDTStructure\make.bat", "Batch", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\workstation\OS_SelfMake\Assembler\day05\g_AddGDT_IDTStructure\naskfunc.nas", "nasm", 0, 0, 0, 0, 0, 76, 0, 0, 9, 3, 88
"d:\workstation\OS_SelfMake\Assembler\day05\z_tools\dsar.bat", "Batch", 0, 0, 0, 19, 0, 0, 0, 0, 0, 4, 23
"d:\workstation\OS_SelfMake\Assembler\day05\z_tools\esart5.bat", "Batch", 0, 0, 0, 13, 0, 0, 0, 0, 0, 6, 19
"d:\workstation\OS_SelfMake\Assembler\day05\z_tools\guigui00\errno.h", "C++", 0, 0, 0, 0, 12, 0, 0, 0, 1, 8, 21
"d:\workstation\OS_SelfMake\Assembler\day05\z_tools\guigui00\float.h", "C++", 0, 0, 0, 0, 19, 0, 0, 0, 1, 7, 27
"d:\workstation\OS_SelfMake\Assembler\day05\z_tools\guigui00\guigui00.h", "C++", 0, 0, 0, 0, 476, 0, 0, 0, 18, 93, 587
"d:\workstation\OS_SelfMake\Assembler\day05\z_tools\guigui00\limits.h", "C++", 0, 0, 0, 0, 18, 0, 0, 0, 1, 5, 24
"d:\workstation\OS_SelfMake\Assembler\day05\z_tools\guigui00\math.h", "C++", 0, 0, 0, 0, 32, 0, 0, 0, 1, 10, 43
"d:\workstation\OS_SelfMake\Assembler\day05\z_tools\guigui00\setjmp.h", "C++", 0, 0, 0, 0, 12, 0, 0, 0, 1, 8, 21
"d:\workstation\OS_SelfMake\Assembler\day05\z_tools\guigui00\stdarg.h", "C++", 0, 0, 0, 0, 14, 0, 0, 0, 1, 7, 22
"d:\workstation\OS_SelfMake\Assembler\day05\z_tools\guigui00\stddef.h", "C++", 0, 0, 0, 0, 10, 0, 0, 0, 1, 7, 18
"d:\workstation\OS_SelfMake\Assembler\day05\z_tools\guigui00\stdio.h", "C++", 0, 0, 0, 0, 15, 0, 0, 0, 1, 9, 25
"d:\workstation\OS_SelfMake\Assembler\day05\z_tools\guigui00\stdlib.h", "C++", 0, 0, 0, 0, 24, 0, 0, 0, 1, 10, 35
"d:\workstation\OS_SelfMake\Assembler\day05\z_tools\guigui00\string.h", "C++", 0, 0, 0, 0, 29, 0, 0, 0, 1, 9, 39
"d:\workstation\OS_SelfMake\Assembler\day05\z_tools\haribote\errno.h", "C++", 0, 0, 0, 0, 12, 0, 0, 0, 1, 8, 21
"d:\workstation\OS_SelfMake\Assembler\day05\z_tools\haribote\float.h", "C++", 0, 0, 0, 0, 19, 0, 0, 0, 1, 7, 27
"d:\workstation\OS_SelfMake\Assembler\day05\z_tools\haribote\limits.h", "C++", 0, 0, 0, 0, 18, 0, 0, 0, 1, 5, 24
"d:\workstation\OS_SelfMake\Assembler\day05\z_tools\haribote\math.h", "C++", 0, 0, 0, 0, 32, 0, 0, 0, 1, 10, 43
"d:\workstation\OS_SelfMake\Assembler\day05\z_tools\haribote\setjmp.h", "C++", 0, 0, 0, 0, 12, 0, 0, 0, 1, 8, 21
"d:\workstation\OS_SelfMake\Assembler\day05\z_tools\haribote\stdarg.h", "C++", 0, 0, 0, 0, 14, 0, 0, 0, 1, 7, 22
"d:\workstation\OS_SelfMake\Assembler\day05\z_tools\haribote\stddef.h", "C++", 0, 0, 0, 0, 10, 0, 0, 0, 1, 7, 18
"d:\workstation\OS_SelfMake\Assembler\day05\z_tools\haribote\stdio.h", "C++", 0, 0, 0, 0, 15, 0, 0, 0, 1, 9, 25
"d:\workstation\OS_SelfMake\Assembler\day05\z_tools\haribote\string.h", "C++", 0, 0, 0, 0, 29, 0, 0, 0, 1, 9, 39
"d:\workstation\OS_SelfMake\Assembler\day05\z_tools\osa_qemu\Makefile", "Makefile", 0, 0, 0, 0, 0, 0, 17, 0, 0, 5, 22
"d:\workstation\OS_SelfMake\Assembler\day05\z_tools\osa_qemu\manual.bat", "Batch", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 9
"d:\workstation\OS_SelfMake\Assembler\day05\z_tools\qemu\Makefile", "Makefile", 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 3
